"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
01 Produse alimentare si bauturi nealcoolice,2008,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2008,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2008,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2008,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2009,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2009,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2009,Martie,..
01 Produse alimentare si bauturi nealcoolice,2009,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2009,Mai,..
01 Produse alimentare si bauturi nealcoolice,2009,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2009,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2009,August,..
01 Produse alimentare si bauturi nealcoolice,2009,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2009,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2009,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2009,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2010,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2010,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2010,Martie,..
01 Produse alimentare si bauturi nealcoolice,2010,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2010,Mai,..
01 Produse alimentare si bauturi nealcoolice,2010,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2010,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2010,August,..
01 Produse alimentare si bauturi nealcoolice,2010,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2010,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2010,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2010,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2011,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2011,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2011,Martie,..
01 Produse alimentare si bauturi nealcoolice,2011,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2011,Mai,..
